id,name,party,electorate
allan-kiritapu,Kiritapu Allan,Labour Party,East Coast
andersen-ginny,Ginny Andersen,Labour Party,Hutt South
ardern-jacinda,Jacinda Ardern,Labour Party,Mt Albert
baillie-chris,Chris Baillie,ACT Party,List
bayly-andrew,Andrew Bayly,National Party,Port Waikato
belich-camilla,Camilla Belich,Labour Party,List
bennett-david,David Bennett,National Party,List
bennett-glen,Glen Bennett,Labour Party,New Plymouth
bishop-chris,Chris Bishop,National Party,List
boyack-rachel,Rachel Boyack,Labour Party,Nelson
brooking-rachel,Rachel Brooking,Labour Party,List
brown-simeon,Simeon Brown,National Party,Pakuranga
brownlee-gerry,Gerry Brownlee,National Party,List
cameron-mark,Mark Cameron,ACT Party,List
chen-naisi,Naisi Chen,Labour Party,List
chhour-karen,Karen Chhour,ACT Party,List
clark-david,David Clark,Labour Party,Dunedin
coffey-tamati,Tāmati Coffey,Labour Party,List
collins-judith,Judith Collins,National Party,Papakura
court-simon,Simon Court,ACT Party,List
craig-liz,Liz Craig,Labour Party,List
davidson-marama,Marama Davidson,Green Party,List
davis-kelvin,Kelvin Davis,Labour Party,Te Tai Tokerau
dean-jacqui,Jacqui Dean,National Party,Waitaki
doocey-matt,Matt Doocey,National Party,Waimakariri
eagle-paul,Paul Eagle,Labour Party,Rongotai
edmonds-barbara,Barbara Edmonds,Labour Party,Mana
genter-julie-anne,Julie Anne Genter,Green Party,List
ghahraman-golriz,Golriz Ghahraman,Green Party,List
goldsmith-paul,Paul Goldsmith,National Party,List
grigg-nicola,Nicola Grigg,National Party,Selwyn
halbert-shanan,Shanan Halbert,Labour Party,Northcote
henare-peeni,Peeni Henare,Labour Party,Tāmaki Makaurau
henderson-emily,Emily Henderson,Labour Party,Whangārei
hipango-harete,Harete Hipango,National Party,List
hipkins-chris,Chris Hipkins,Labour Party,Remutaka
jackson-willie,Willie Jackson,Labour Party,List
kanongataa-suisuiki-anahila,Anahila Kanongata'a-Suisuiki,Labour Party,List
kerekere-elizabeth,Elizabeth Kerekere,Green Party,List
kuriger-barbara,Barbara Kuriger,National Party,Taranaki-King Country
leary-ingrid,Ingrid Leary,Labour Party,Taieri
leavasa-neru,Neru Leavasa,Labour Party,Takanini
lee-melissa,Melissa Lee,National Party,List
lewis-steph,Steph Lewis,Labour Party,Whanganui
little-andrew,Andrew Little,Labour Party,List
logie-jan,Jan Logie,Green Party,List
lorck-anna,Anna Lorck,Labour Party,Tukituki
lubeck-marja,Marja Lubeck,Labour Party,List
luxon-christopher,Christopher Luxon,National Party,Botany
luxton-jo,Jo Luxton,Labour Party,Rangitata
mahuta-nanaia,Nanaia Mahuta,Labour Party,Hauraki-Waikato
mallard-trevor,Trevor Mallard,Labour Party,List
mcanulty-kieran,Kieran McAnulty,Labour Party,Wairarapa
mcclay-todd,Todd McClay,National Party,Rotorua
mcdowall-james,James McDowall,ACT Party,List
mckee-nicole,Nicole McKee,ACT Party,List
mckelvie-ian,Ian McKelvie,National Party,Rangitīkei
mclellan-tracey,Tracey McLellan,Labour Party,Banks Peninsula
men%C3%A9ndez-march-ricardo,Ricardo Menéndez March,Green Party,List
mitchell-mark,Mark Mitchell,National Party,Whangaparāoa
mooney-joseph,Joseph Mooney,National Party,Southland
muller-todd,Todd Muller,National Party,Bay of Plenty
nash-stuart,Stuart Nash,Labour Party,Napier
ngarewa-packer-debbie,Debbie Ngarewa-Packer,Te Paati Māori,List
ngobi-terisa,Terisa Ngobi,Labour Party,Ōtaki
oconnor-damien,Damien O'Connor,Labour Party,West Coast-Tasman
oconnor-greg,Greg O'Connor,Labour Party,Ōhāriu
oconnor-simon,Simon O'Connor,National Party,Tāmaki
omer-ibrahim,Ibrahim Omer,Labour Party,List
pallett-sarah,Sarah Pallett,Labour Party,Ilam
parker-david,David Parker,Labour Party,List
penk-chris,Chris Penk,National Party,Kaipara ki Mahurangi
prime-willow-jean,Willow-Jean Prime,Labour Party,Northland
pugh-maureen,Maureen Pugh,National Party,List
radhakrishnan-priyanca,Priyanca Radhakrishnan,Labour Party,Maungakiekie
reti-shane,Shane Reti,National Party,List
roberts-angela,Angela Roberts,Labour Party,List
robertson-grant,Grant Robertson,Labour Party,Wellington Central
rosewarne-dan,Dan Rosewarne,Labour Party,List
rurawhe-adrian,Adrian Rurawhe,Labour Party,Te Tai Hauāuru
russell-deborah,Deborah Russell,Labour Party,New Lynn
sage-eugenie,Eugenie Sage,Green Party,List
salesa-jenny,Jenny Salesa,Labour Party,Panmure-Ōtāhuhu
sepuloni-carmel,Carmel Sepuloni,Labour Party,Kelston
severin-toni,Toni Severin,ACT Party,List
seymour-david,David Seymour,ACT Party,Epsom
sharma-gaurav,Gaurav Sharma,Labour Party,Hamilton West
shaw-james,James Shaw,Green Party,List
simmonds-penny,Penny Simmonds,National Party,Invercargill
simpson-scott,Scott Simpson,National Party,Coromandel
sio-aupito-william,Aupito William Sio,Labour Party,Māngere
smith-damien,Damien Smith,ACT Party,List
smith-stuart,Stuart Smith,National Party,Kaikōura
sosene-lemauga-lydia,Lemauga Lydia Sosene,Labour Party,List
stanford-erica,Erica Stanford,National Party,East Coast Bays
strange-jamie,Jamie Strange,Labour Party,Hamilton East
swarbrick-chloe,Chlöe Swarbrick,Green Party,Auckland Central
tinetti-jan,Jan Tinetti,Labour Party,List
tirikatene-rino,Rino Tirikatene,Labour Party,Te Tai Tonga
tuiono-teanau,Teanau Tuiono,Green Party,List
twyford-phil,Phil Twyford,Labour Party,Te Atatū
uffindell-sam,Sam Uffindell,National Party,Tauranga
upston-louise,Louise Upston,National Party,Taupō
utikere-tangi,Tangi Utikere,Labour Party,Palmerston North
van-de-molen-tim,Tim van de Molen,National Party,Waikato
van-velden-brooke,Brooke van Velden,ACT Party,List
verrall-ayesha,Ayesha Verrall,Labour Party,List
waititi-rawiri,Rawiri Waititi,Te Paati Māori,Waiariki
walters-vanushi,Vanushi Walters,Labour Party,Upper Harbour
warren-clark-angie,Angie Warren-Clark,Labour Party,List
watts-simon,Simon Watts,National Party,North Shore
webb-duncan,Duncan Webb,Labour Party,Christchurch Central
whaitiri-meka,Meka Whaitiri,Labour Party,Ikaroa-Rāwhiti
white-helen,Helen White,Labour Party,List
williams-arena,Arena Williams,Labour Party,Manurewa
williams-poto,Poto Williams,Labour Party,Christchurch East
willis-nicola,Nicola Willis,National Party,List
wood-michael,Michael Wood,Labour Party,Mt Roskill
woodhouse-michael,Michael Woodhouse,National Party,List
woods-megan,Megan Woods,Labour Party,Wigram
